Time,Rate,Event
0,1.09435,Upward Overshoot
1,1.09421,Upward Overshoot
2,1.09421,Upward Overshoot
3,1.09419,Upward Overshoot
4,1.09405,Upward Overshoot
5,1.09425,Upward Overshoot
6,1.0938,Upward Overshoot
7,1.09371,Upward Overshoot
8,1.0938,Upward Overshoot
9,1.09376,Upward Overshoot
10,1.09375,Upward Overshoot
11,1.09382,Upward Overshoot
12,1.09373,Upward Overshoot
13,1.09339,Upward Overshoot
14,1.09335,Upward Overshoot
15,1.0932,Upward Overshoot
16,1.0932,Upward Overshoot
17,1.09363,Upward Overshoot
18,1.09325,Upward Overshoot
19,1.09306,Upward Overshoot
20,1.09271,Upward Overshoot
21,1.09271,Upward Overshoot
22,1.09271,Upward Overshoot
23,1.09276,Upward Overshoot
24,1.09272,Upward Overshoot
25,1.09263,Upward Overshoot
26,1.09269,Upward Overshoot
27,1.09284,Upward Overshoot
28,1.09283,Upward Overshoot
29,1.09261,Upward Overshoot
30,1.09274,Upward Overshoot
31,1.09259,Upward Overshoot
32,1.09284,Upward Overshoot
33,1.09284,Upward Overshoot
34,1.09316,Upward Overshoot
35,1.09321,Upward Overshoot
36,1.09318,Upward Overshoot
37,1.09312,Upward Overshoot
38,1.09318,Upward Overshoot
39,1.09313,Upward Overshoot
40,1.09294,Upward Overshoot
41,1.09339,Upward Overshoot
42,1.09394,Upward Overshoot
43,1.09379,Upward Overshoot
44,1.0938,Upward Overshoot
45,1.09409,Upward Overshoot
46,1.09432,Upward Overshoot
47,1.09461,Upward Overshoot
48,1.0944,Upward Overshoot
49,1.09429,Upward Overshoot
50,1.09452,Upward Overshoot
51,1.09433,Upward Overshoot
52,1.09411,Upward Overshoot
53,1.09396,Upward Overshoot
54,1.09408,Upward Overshoot
55,1.09419,Upward Overshoot
56,1.09456,Upward Overshoot
57,1.0946,Upward Overshoot
58,1.09438,Upward Overshoot
59,1.09409,Upward Overshoot
60,1.09449,Upward Overshoot
61,1.09207,Upward Overshoot
62,1.09333,Upward Overshoot
63,1.09319,Upward Overshoot
64,1.0929,Upward Overshoot
65,1.09233,Upward Overshoot
66,1.09145,Upward Overshoot
67,1.09091,Upward Overshoot
68,1.09116,Upward Overshoot
69,1.09117,Upward Overshoot
70,1.09218,Upward Overshoot
71,1.09154,Upward Overshoot
72,1.09139,Upward Overshoot
73,1.0912,Upward Overshoot
74,1.0916,Upward Overshoot
75,1.09166,Upward Overshoot
76,1.09167,Upward Overshoot
77,1.09197,Upward Overshoot
78,1.09158,Upward Overshoot
79,1.09128,Upward Overshoot
80,1.0916,Upward Overshoot
81,1.09172,Upward Overshoot
82,1.09157,Upward Overshoot
83,1.09212,Upward Overshoot
84,1.09201,Upward Overshoot
85,1.09212,Upward Overshoot
86,1.09219,Upward Overshoot
87,1.0923,Upward Overshoot
88,1.09264,Upward Overshoot
89,1.09245,Upward Overshoot
90,1.09246,Upward Overshoot
91,1.09204,Upward Overshoot
92,1.09177,Upward Overshoot
93,1.0917,Upward Overshoot
94,1.09146,Upward Overshoot
95,1.09223,Upward Overshoot
96,1.09101,Upward Overshoot
97,1.092,Upward Overshoot
98,1.09168,Upward Overshoot
99,1.09155,Upward Overshoot
100,1.09193,Upward Overshoot
101,1.09206,Upward Overshoot
102,1.09214,Upward Overshoot
103,1.09219,Upward Overshoot
104,1.09233,Upward Overshoot
105,1.09228,Upward Overshoot
106,1.0924,Upward Overshoot
107,1.09225,Upward Overshoot
108,1.09238,Upward Overshoot
109,1.09243,Upward Overshoot
110,1.09239,Upward Overshoot
111,1.09224,Upward Overshoot
112,1.09243,Upward Overshoot
113,1.09257,Upward Overshoot
114,1.09244,Upward Overshoot
115,1.09212,Upward Overshoot
116,1.09214,Upward Overshoot
117,1.09217,Upward Overshoot
118,1.09198,Upward Overshoot
119,1.09185,Upward Overshoot
120,1.09191,Upward Overshoot
121,1.0917,Upward Overshoot
122,1.09152,Upward Overshoot
123,1.09152,Upward Overshoot
124,1.09143,Upward Overshoot
125,1.09154,Upward Overshoot
126,1.09166,Upward Overshoot
127,1.09192,Upward Overshoot
128,1.09201,Upward Overshoot
129,1.092,Upward Overshoot
130,1.09207,Upward Overshoot
131,1.09216,Upward Overshoot
132,1.09213,Upward Overshoot
133,1.09165,Upward Overshoot
134,1.09198,Upward Overshoot
135,1.09179,Upward Overshoot
136,1.09167,Upward Overshoot
137,1.09192,Upward Overshoot
138,1.09144,Upward Overshoot
139,1.0917,Upward Overshoot
140,1.09154,Upward Overshoot
141,1.09167,Upward Overshoot
142,1.09202,Upward Overshoot
143,1.09214,Upward Overshoot
144,1.09178,Upward Overshoot
145,1.09205,Upward Overshoot
146,1.09162,Upward Overshoot
147,1.09145,Upward Overshoot
148,1.09154,Upward Overshoot
149,1.09194,Upward Overshoot
150,1.09183,Upward Overshoot
151,1.092,Upward Overshoot
152,1.09217,Upward Overshoot
153,1.09183,Upward Overshoot
154,1.09219,Upward Overshoot
155,1.09184,Upward Overshoot
156,1.0918,Upward Overshoot
157,1.092,Upward Overshoot
158,1.09169,Upward Overshoot
159,1.09159,Upward Overshoot
160,1.09171,Upward Overshoot
161,1.09208,Upward Overshoot
162,1.09184,Upward Overshoot
163,1.09155,Upward Overshoot
164,1.0919,Upward Overshoot
165,1.09262,Upward Overshoot
166,1.09251,Upward Overshoot
167,1.09212,Upward Overshoot
168,1.0923,Upward Overshoot
169,1.09218,Upward Overshoot
170,1.09215,Upward Overshoot
171,1.09256,Upward Overshoot
172,1.09249,Upward Overshoot
173,1.09242,Upward Overshoot
174,1.09225,Upward Overshoot
175,1.09211,Upward Overshoot
176,1.09215,Upward Overshoot
177,1.09235,Upward Overshoot
178,1.09265,Upward Overshoot
179,1.09292,Upward Overshoot
180,1.09301,Upward Overshoot
181,1.09288,Upward Overshoot
182,1.09274,Upward Overshoot
183,1.09257,Upward Overshoot
184,1.09264,Upward Overshoot
185,1.09295,Upward Overshoot
186,1.09283,Upward Overshoot
187,1.09263,Upward Overshoot
188,1.09279,Upward Overshoot
189,1.09253,Upward Overshoot
190,1.09245,Upward Overshoot
191,1.09199,Upward Overshoot
192,1.09178,Upward Overshoot
193,1.09203,Upward Overshoot
194,1.09209,Upward Overshoot
195,1.0919,Upward Overshoot
196,1.09213,Upward Overshoot
197,1.0921,Upward Overshoot
198,1.09223,Upward Overshoot
199,1.09203,Upward Overshoot
200,1.09198,Upward Overshoot
201,1.09198,Upward Overshoot
202,1.09198,Upward Overshoot
203,1.09196,Upward Overshoot
204,1.09204,Upward Overshoot
205,1.0922,Upward Overshoot
206,1.09215,Upward Overshoot
207,1.09216,Upward Overshoot
208,1.09216,Upward Overshoot
209,1.09239,Upward Overshoot
210,1.09237,Upward Overshoot
211,1.09229,Upward Overshoot
212,1.09223,Upward Overshoot
213,1.09208,Upward Overshoot
214,1.09211,Upward Overshoot
215,1.092,Upward Overshoot
216,1.092,Upward Overshoot
217,1.09199,Upward Overshoot
218,1.09221,Upward Overshoot
219,1.09223,Upward Overshoot
220,1.09204,Upward Overshoot
221,1.0921,Upward Overshoot
222,1.09223,Upward Overshoot
223,1.09223,Upward Overshoot
224,1.09196,Upward Overshoot
225,1.09184,Upward Overshoot
226,1.09201,Upward Overshoot
227,1.09184,Upward Overshoot
228,1.09167,Upward Overshoot
229,1.09174,Upward Overshoot
230,1.09161,Upward Overshoot
231,1.09137,Upward Overshoot
232,1.08912,Upward Overshoot
233,1.08988,Upward Overshoot
234,1.09038,Upward Overshoot
235,1.08996,Upward Overshoot
236,1.09055,Upward Overshoot
237,1.09014,Upward Overshoot
238,1.09071,Upward Overshoot
239,1.09086,Upward Overshoot
240,1.08996,Upward Overshoot
241,1.0899,Upward Overshoot
242,1.08955,Upward Overshoot
243,1.08929,Upward Overshoot
244,1.08927,Upward Overshoot
245,1.08904,Upward Overshoot
246,1.08874,Upward Overshoot
247,1.08872,Upward Overshoot
